Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	467253	1	OK	0.6040790	-0.4442219	0.0025113	-0.6616261	68.817	175.018	-95.704	0.1624325	0
1	Port 2: NDI 8700340  s/n:34802401	467256	1	OK	0.6031120	-0.4445127	0.0014233	-0.6623159	69.076	174.811	-95.992	0.1083346	0
1	Port 2: NDI 8700340  s/n:34802401	467259	1	OK	0.6027289	-0.4450882	0.0012573	-0.6622785	68.803	174.809	-96.175	0.1333605	0
1	Port 2: NDI 8700340  s/n:34802401	467262	1	OK	0.6007168	-0.4455001	0.0013618	-0.6638276	69.005	174.667	-96.341	0.1496274	0
1	Port 2: NDI 8700340  s/n:34802401	467265	1	OK	0.5994339	-0.4456869	0.0005651	-0.6648623	68.857	174.482	-96.437	0.1583482	0
1	Port 2: NDI 8700340  s/n:34802401	467268	1	OK	0.5984883	-0.4458292	-0.0003003	-0.6656185	68.597	174.312	-96.542	0.1752112	0
1	Port 2: NDI 8700340  s/n:34802401	467271	1	OK	0.5973191	-0.4452530	-0.0015736	-0.6670511	68.504	174.212	-96.774	0.1068915	0
1	Port 2: NDI 8700340  s/n:34802401	467274	1	OK	0.5952383	-0.4450501	-0.0030068	-0.6690387	68.641	174.041	-96.769	0.1138498	0
1	Port 2: NDI 8700340  s/n:34802401	467277	1	OK	0.5937668	-0.4449298	-0.0038927	-0.6704203	68.287	174.391	-96.734	0.1509676	0
1	Port 2: NDI 8700340  s/n:34802401	467280	1	OK	0.5899712	-0.4449079	-0.0069714	-0.6737525	68.579	174.416	-96.586	0.1119141	0
1	Port 2: NDI 8700340  s/n:34802401	467283	1	OK	0.5881224	-0.4448012	-0.0095455	-0.6754057	68.916	174.334	-96.445	0.1156853	0
1	Port 2: NDI 8700340  s/n:34802401	467286	1	OK	0.5877872	-0.4443060	-0.0114550	-0.6759934	69.483	174.290	-96.296	0.1741377	0
1	Port 2: NDI 8700340  s/n:34802401	467289	1	OK	0.5869862	-0.4436631	-0.0136566	-0.6770700	70.236	174.398	-96.182	0.1328285	0
1	Port 2: NDI 8700340  s/n:34802401	467292	1	OK	0.5871703	-0.4440104	-0.0141764	-0.6766719	70.691	174.819	-95.694	0.1698759	0
1	Port 2: NDI 8700340  s/n:34802401	467295	1	OK	0.5864404	-0.4450231	-0.0145938	-0.6766307	70.992	175.012	-95.512	0.1503557	0
1	Port 2: NDI 8700340  s/n:34802401	467298	1	OK	0.5850510	-0.4462106	-0.0134357	-0.6770752	71.424	175.301	-95.454	0.1603632	0
1	Port 2: NDI 8700340  s/n:34802401	467301	1	OK	0.5840808	-0.4477521	-0.0139324	-0.6768852	71.588	175.522	-95.339	0.1597047	0
1	Port 2: NDI 8700340  s/n:34802401	467304	1	OK	0.5825944	-0.4488763	-0.0157914	-0.6773806	71.859	175.833	-95.106	0.1550446	0
1	Port 2: NDI 8700340  s/n:34802401	467307	1	OK	0.5820007	-0.4498303	-0.0172980	-0.6772213	72.398	176.173	-94.698	0.1345078	0
1	Port 2: NDI 8700340  s/n:34802401	467310	1	OK	0.5799134	-0.4511545	-0.0179400	-0.6781138	73.013	176.822	-94.321	0.1766152	0
1	Port 2: NDI 8700340  s/n:34802401	467313	1	OK	0.5773593	-0.4526183	-0.0208563	-0.6792334	73.294	177.855	-93.759	0.1349932	0
1	Port 2: NDI 8700340  s/n:34802401	467316	1	OK	0.5734006	-0.4537034	-0.0265334	-0.6816604	74.064	178.947	-92.971	0.1435590	0
1	Port 2: NDI 8700340  s/n:34802401	467319	1	OK	0.5695047	-0.4551115	-0.0310543	-0.6837935	75.049	180.379	-91.793	0.1410958	0
1	Port 2: NDI 8700340  s/n:34802401	467322	1	OK	0.5668887	-0.4564147	-0.0348969	-0.6849125	76.245	181.881	-90.609	0.1415222	0
1	Port 2: NDI 8700340  s/n:34802401	467325	1	OK	0.5635909	-0.4588639	-0.0372434	-0.6858732	77.138	183.965	-89.341	0.1585089	0
1	Port 2: NDI 8700340  s/n:34802401	467328	1	OK	0.5612271	-0.4609261	-0.0405974	-0.6862384	78.449	185.704	-88.225	0.1326081	0
1	Port 2: NDI 8700340  s/n:34802401	467331	1	OK	0.5590829	-0.4633824	-0.0423962	-0.6862257	79.492	186.751	-87.840	0.1332419	0
1	Port 2: NDI 8700340  s/n:34802401	467334	1	OK	0.5560101	-0.4649251	-0.0458372	-0.6874564	80.958	187.854	-87.113	0.1218599	0
1	Port 2: NDI 8700340  s/n:34802401	467337	1	OK	0.5528912	-0.4659785	-0.0499815	-0.6889682	82.797	189.681	-85.859	0.1229847	0
1	Port 2: NDI 8700340  s/n:34802401	467340	1	OK	0.5515029	-0.4679353	-0.0518242	-0.6886184	84.178	192.764	-84.030	0.1131622	0
1	Port 2: NDI 8700340  s/n:34802401	467343	1	OK	0.5497474	-0.4705601	-0.0529724	-0.6881460	86.166	196.500	-81.904	0.1478094	0
1	Port 2: NDI 8700340  s/n:34802401	467346	1	OK	0.5469193	-0.4722896	-0.0555901	-0.6890077	88.887	200.733	-80.161	0.1399392	0
1	Port 2: NDI 8700340  s/n:34802401	467349	1	OK	0.5446924	-0.4727866	-0.0574515	-0.6902770	91.447	206.159	-79.529	0.1278769	0
1	Port 2: NDI 8700340  s/n:34802401	467352	1	OK	0.5437432	-0.4728613	-0.0570308	-0.6910087	94.254	212.125	-79.961	0.1235483	0
1	Port 2: NDI 8700340  s/n:34802401	467355	1	OK	0.5408917	-0.4724091	-0.0570625	-0.6935486	97.662	218.059	-80.674	0.1125138	0
1	Port 2: NDI 8700340  s/n:34802401	467358	1	OK	0.5364540	-0.4737688	-0.0603982	-0.6957818	100.613	223.379	-81.001	0.1260768	0
1	Port 2: NDI 8700340  s/n:34802401	467361	1	OK	0.5358486	-0.4745586	-0.0619875	-0.6955703	103.381	228.419	-81.435	0.1267219	0
1	Port 2: NDI 8700340  s/n:34802401	467364	1	OK	0.5338879	-0.4755477	-0.0636944	-0.6962479	106.307	232.934	-81.924	0.1183206	0
1	Port 2: NDI 8700340  s/n:34802401	467367	1	OK	0.5316590	-0.4763310	-0.0660433	-0.6971985	108.300	237.735	-82.462	0.1354118	0
1	Port 2: NDI 8700340  s/n:34802401	467370	1	OK	0.5294515	-0.4768063	-0.0672222	-0.6984397	110.018	242.203	-83.213	0.1387854	0
1	Port 2: NDI 8700340  s/n:34802401	467373	1	OK	0.5294978	-0.4775204	-0.0679334	-0.6978477	111.266	246.026	-83.494	0.1264705	0
1	Port 2: NDI 8700340  s/n:34802401	467376	1	OK	0.5295653	-0.4773186	-0.0670875	-0.6980163	112.267	249.726	-83.840	0.1205785	0
1	Port 2: NDI 8700340  s/n:34802401	467379	1	OK	0.5303546	-0.4767807	-0.0685923	-0.6976383	113.099	252.441	-84.210	0.1252400	0
1	Port 2: NDI 8700340  s/n:34802401	467382	1	OK	0.5315293	-0.4763294	-0.0693160	-0.6969808	112.848	255.225	-84.199	0.1059030	0
1	Port 2: NDI 8700340  s/n:34802401	467385	1	OK	0.5312646	-0.4757833	-0.0697476	-0.6975124	111.962	258.158	-84.035	0.1064825	0
1	Port 2: NDI 8700340  s/n:34802401	467388	1	OK	0.5293204	-0.4762059	-0.0700819	-0.6986676	109.392	261.731	-83.542	0.1260562	0
1	Port 2: NDI 8700340  s/n:34802401	467391	1	OK	0.5280479	-0.4765836	-0.0696157	-0.6994191	106.511	264.803	-83.018	0.1104104	0
1	Port 2: NDI 8700340  s/n:34802401	467394	1	OK	0.5258605	-0.4778021	-0.0684085	-0.7003543	103.069	267.411	-81.944	0.1052607	0
1	Port 2: NDI 8700340  s/n:34802401	467397	1	OK	0.5264318	-0.4785645	-0.0666284	-0.6995758	99.914	268.780	-81.086	0.1377630	0
1	Port 2: NDI 8700340  s/n:34802401	467400	1	OK	0.5238886	-0.4791463	-0.0679181	-0.7009612	97.409	269.044	-80.025	0.1422414	0
1	Port 2: NDI 8700340  s/n:34802401	467403	1	OK	0.5215460	-0.4814578	-0.0704148	-0.7008779	94.227	268.510	-78.682	0.0997500	0
1	Port 2: NDI 8700340  s/n:34802401	467406	1	OK	0.5203332	-0.4810563	-0.0723114	-0.7018613	92.365	267.306	-79.094	0.1218754	0
1	Port 2: NDI 8700340  s/n:34802401	467409	1	OK	0.5203352	-0.4811111	-0.0741864	-0.7016265	90.881	265.770	-79.222	0.1173818	0
1	Port 2: NDI 8700340  s/n:34802401	467412	1	OK	0.5203637	-0.4812127	-0.0751030	-0.7014382	89.663	264.185	-79.139	0.1263110	0
1	Port 2: NDI 8700340  s/n:34802401	467415	1	OK	0.5218396	-0.4804122	-0.0737497	-0.7010338	89.369	263.096	-78.576	0.1208339	0
1	Port 2: NDI 8700340  s/n:34802401	467418	1	OK	0.5218492	-0.4830311	-0.0776325	-0.6988043	89.550	260.069	-76.794	0.1230688	0
1	Port 2: NDI 8700340  s/n:34802401	467421	1	OK	0.5238624	-0.4818047	-0.0756968	-0.6983569	89.864	258.894	-77.342	0.1354535	0
1	Port 2: NDI 8700340  s/n:34802401	467424	1	OK	0.5248675	-0.4803073	-0.0690227	-0.6993245	88.757	260.036	-78.040	0.1330787	0
1	Port 2: NDI 8700340  s/n:34802401	467427	1	OK	0.5234794	-0.4813684	-0.0761628	-0.6988941	90.233	256.742	-77.625	0.1392369	0
1	Port 2: NDI 8700340  s/n:34802401	467430	1	OK	0.5248199	-0.4816557	-0.0762499	-0.6976803	89.927	254.870	-78.552	0.1306573	0
1	Port 2: NDI 8700340  s/n:34802401	467433	1	OK	0.5234874	-0.4828728	-0.0783944	-0.6976024	89.649	252.579	-78.433	0.1334995	0
1	Port 2: NDI 8700340  s/n:34802401	467436	1	OK	0.5249195	-0.4841275	-0.0781528	-0.6956811	89.633	250.126	-77.733	0.1566097	0
