Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	132381	1	OK	0.5734035	-0.4136132	-0.0129799	-0.7070813	64.561	191.949	-85.461	0.1695714	0
1	Port 2: NDI 8700340  s/n:34802401	132384	1	OK	0.5723146	-0.4140915	-0.0133887	-0.7076757	64.960	191.724	-85.410	0.1724227	0
1	Port 2: NDI 8700340  s/n:34802401	132387	1	OK	0.5719539	-0.4145319	-0.0141139	-0.7076954	64.797	191.860	-85.364	0.2024596	0
1	Port 2: NDI 8700340  s/n:34802401	132390	1	OK	0.5707310	-0.4150060	-0.0148800	-0.7083888	65.163	191.832	-85.259	0.1527028	0
1	Port 2: NDI 8700340  s/n:34802401	132393	1	OK	0.5700900	-0.4148636	-0.0156218	-0.7089722	65.228	192.112	-85.188	0.1429517	0
1	Port 2: NDI 8700340  s/n:34802401	132396	1	OK	0.5703273	-0.4155900	-0.0151899	-0.7083650	65.206	192.155	-85.037	0.1707156	0
1	Port 2: NDI 8700340  s/n:34802401	132399	1	OK	0.5700763	-0.4155515	-0.0156884	-0.7085788	65.018	192.438	-85.121	0.1823397	0
1	Port 2: NDI 8700340  s/n:34802401	132402	1	OK	0.5693607	-0.4154348	-0.0170974	-0.7091897	64.896	192.103	-85.262	0.1819284	0
1	Port 2: NDI 8700340  s/n:34802401	132405	1	OK	0.5701344	-0.4153409	-0.0158211	-0.7086525	65.113	191.153	-85.044	0.1949914	0
1	Port 2: NDI 8700340  s/n:34802401	132408	1	OK	0.5720098	-0.4152029	-0.0174224	-0.7071830	66.721	188.646	-85.337	0.1390124	0
1	Port 2: NDI 8700340  s/n:34802401	132411	1	OK	0.5733975	-0.4150688	-0.0207862	-0.7060461	68.885	186.215	-85.879	0.1956525	0
1	Port 2: NDI 8700340  s/n:34802401	132414	1	OK	0.5747113	-0.4154418	-0.0216313	-0.7047319	70.245	185.242	-86.896	0.1786674	0
1	Port 2: NDI 8700340  s/n:34802401	132417	1	OK	0.5738562	-0.4164037	-0.0240705	-0.7047820	72.571	184.585	-87.685	0.1286549	0
1	Port 2: NDI 8700340  s/n:34802401	132420	1	OK	0.5727219	-0.4184553	-0.0263073	-0.7044094	74.590	185.186	-87.399	0.1703046	0
1	Port 2: NDI 8700340  s/n:34802401	132423	1	OK	0.5708734	-0.4203365	-0.0285766	-0.7047015	77.221	186.553	-85.951	0.1869442	0
1	Port 2: NDI 8700340  s/n:34802401	132426	1	OK	0.5701245	-0.4221897	-0.0279797	-0.7042237	79.212	189.034	-84.147	0.2050177	0
1	Port 2: NDI 8700340  s/n:34802401	132429	1	OK	0.5683532	-0.4240292	-0.0289958	-0.7045091	80.090	192.101	-82.035	0.1693139	0
1	Port 2: NDI 8700340  s/n:34802401	132432	1	OK	0.5658506	-0.4261649	-0.0267089	-0.7053249	78.598	196.013	-80.099	0.1623917	0
1	Port 2: NDI 8700340  s/n:34802401	132435	1	OK	0.5642082	-0.4271342	-0.0246941	-0.7061273	76.213	198.942	-79.337	0.1728375	0
1	Port 2: NDI 8700340  s/n:34802401	132438	1	OK	0.5623324	-0.4281546	-0.0220075	-0.7070938	72.519	201.055	-78.936	0.1958477	0
1	Port 2: NDI 8700340  s/n:34802401	132441	1	OK	0.5610654	-0.4281205	-0.0229464	-0.7080903	69.230	201.091	-79.832	0.2216565	0
1	Port 2: NDI 8700340  s/n:34802401	132444	1	OK	0.5589907	-0.4275824	-0.0236967	-0.7100290	67.365	199.725	-80.853	0.1856731	0
1	Port 2: NDI 8700340  s/n:34802401	132447	1	OK	0.5618768	-0.4261744	-0.0247473	-0.7085601	67.300	196.967	-81.681	0.1740389	0
1	Port 2: NDI 8700340  s/n:34802401	132450	1	OK	0.5648985	-0.4264466	-0.0284250	-0.7058506	70.569	192.272	-81.361	0.1830928	0
1	Port 2: NDI 8700340  s/n:34802401	132453	1	OK	0.5705028	-0.4255136	-0.0348709	-0.7016044	75.871	187.167	-82.294	0.2138657	0
1	Port 2: NDI 8700340  s/n:34802401	132456	1	OK	0.5742908	-0.4240839	-0.0377537	-0.6992264	81.413	184.510	-84.286	0.1796204	0
1	Port 2: NDI 8700340  s/n:34802401	132459	1	OK	0.5750438	-0.4242957	-0.0401563	-0.6983447	85.535	184.879	-85.654	0.2169867	0
1	Port 2: NDI 8700340  s/n:34802401	132462	1	OK	0.5722284	-0.4271281	-0.0424067	-0.6987975	88.956	186.517	-85.937	0.1893152	0
1	Port 2: NDI 8700340  s/n:34802401	132465	1	OK	0.5684061	-0.4299628	-0.0454141	-0.6999886	91.703	189.162	-85.236	0.1779514	0
1	Port 2: NDI 8700340  s/n:34802401	132468	1	OK	0.5651251	-0.4325067	-0.0483923	-0.7008779	92.894	192.701	-83.708	0.1950635	0
1	Port 2: NDI 8700340  s/n:34802401	132471	1	OK	0.5611386	-0.4345334	-0.0510435	-0.7026370	92.752	196.207	-82.006	0.2145648	0
1	Port 2: NDI 8700340  s/n:34802401	132474	1	OK	0.5585168	-0.4353921	-0.0527487	-0.7040669	90.882	199.408	-80.354	0.2431814	0
1	Port 2: NDI 8700340  s/n:34802401	132477	1	OK	0.5584191	-0.4349986	-0.0508981	-0.7045238	88.428	201.765	-79.164	0.1748537	0
1	Port 2: NDI 8700340  s/n:34802401	132480	1	OK	0.5595660	-0.4361006	-0.0462689	-0.7032506	85.633	201.884	-78.186	0.1998354	0
1	Port 2: NDI 8700340  s/n:34802401	132483	1	OK	0.5641498	-0.4355789	-0.0440598	-0.7000462	84.061	200.176	-78.784	0.1763062	0
1	Port 2: NDI 8700340  s/n:34802401	132486	1	OK	0.5690977	-0.4343358	-0.0476430	-0.6965704	85.612	196.159	-79.034	0.2105912	0
1	Port 2: NDI 8700340  s/n:34802401	132489	1	OK	0.5767251	-0.4327696	-0.0484278	-0.6911971	89.449	191.654	-79.831	0.1950995	0
