Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	85576	1	OK	0.4557713	0.4442771	0.7701713	-0.0415521	45.465	-227.811	151.943	0.2480705	0
1	Port 2: NDI 8700340  s/n:34802401	85579	1	OK	0.4565594	0.4442428	0.7697127	-0.0417644	45.134	-228.230	151.008	0.2413213	0
1	Port 2: NDI 8700340  s/n:34802401	85582	1	OK	0.4563264	0.4437394	0.7701721	-0.0411874	45.149	-228.958	151.354	0.2574226	0
1	Port 2: NDI 8700340  s/n:34802401	85585	1	OK	0.4562851	0.4431516	0.7706006	-0.0399409	44.623	-230.098	152.138	0.2223423	0
1	Port 2: NDI 8700340  s/n:34802401	85588	1	OK	0.4554069	0.4429790	0.7712549	-0.0392442	44.381	-230.821	153.252	0.2447195	0
1	Port 2: NDI 8700340  s/n:34802401	85591	1	OK	0.4548587	0.4421437	0.7721153	-0.0380852	43.964	-231.143	154.102	0.2369018	0
1	Port 2: NDI 8700340  s/n:34802401	85594	1	OK	0.4549499	0.4424098	0.7719417	-0.0374201	43.465	-230.682	154.351	0.2605332	0
1	Port 2: NDI 8700340  s/n:34802401	85597	1	OK	0.4546007	0.4441471	0.7711991	-0.0363802	43.859	-229.779	154.682	0.2475874	0
1	Port 2: NDI 8700340  s/n:34802401	85600	1	OK	0.4540313	0.4455043	0.7707127	-0.0371950	44.494	-229.041	155.096	0.2454897	0
1	Port 2: NDI 8700340  s/n:34802401	85603	1	OK	0.4543934	0.4445275	0.7710917	-0.0366008	44.343	-229.635	155.266	0.2465551	0
1	Port 2: NDI 8700340  s/n:34802401	85606	1	OK	0.4551582	0.4444887	0.7707001	-0.0358067	43.412	-230.522	155.040	0.2394519	0
1	Port 2: NDI 8700340  s/n:34802401	85609	1	OK	0.4560849	0.4445414	0.7702011	-0.0340550	42.587	-231.456	154.522	0.2404703	0
1	Port 2: NDI 8700340  s/n:34802401	85612	1	OK	0.4583435	0.4416457	0.7706262	-0.0317101	40.618	-233.172	153.262	0.2532782	0
1	Port 2: NDI 8700340  s/n:34802401	85615	1	OK	0.4580241	0.4398230	0.7719264	-0.0299881	38.984	-234.773	153.444	0.2398001	0
