Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	20101	1	OK	0.5400072	0.4260214	0.7255108	0.0230674	30.658	-283.050	152.403	0.3314977	0
1	Port 2: NDI 8700340  s/n:34802401	20104	1	OK	0.5398304	0.4261042	0.7255802	0.0234876	30.261	-283.505	152.532	0.3134026	0
1	Port 2: NDI 8700340  s/n:34802401	20107	1	OK	0.5394091	0.4258256	0.7260510	0.0236700	30.353	-283.743	152.779	0.3033379	0
1	Port 2: NDI 8700340  s/n:34802401	20110	1	OK	0.5397196	0.4256097	0.7259014	0.0250263	29.799	-284.540	152.589	0.2785577	0
1	Port 2: NDI 8700340  s/n:34802401	20113	1	OK	0.5394803	0.4233246	0.7274011	0.0253942	29.614	-285.479	152.757	0.3343127	0
1	Port 2: NDI 8700340  s/n:34802401	20116	1	OK	0.5390693	0.4218590	0.7284756	0.0276141	28.794	-287.336	153.072	0.3031660	0
1	Port 2: NDI 8700340  s/n:34802401	20119	1	OK	0.5388039	0.4199055	0.7297550	0.0287638	28.211	-289.018	153.380	0.2843564	0
1	Port 2: NDI 8700340  s/n:34802401	20122	1	OK	0.5379193	0.4177743	0.7315918	0.0296796	27.586	-290.979	154.294	0.2711008	0
1	Port 2: NDI 8700340  s/n:34802401	20125	1	OK	0.5377091	0.4135664	0.7341007	0.0304600	27.021	-292.919	154.639	0.3070424	0
1	Port 2: NDI 8700340  s/n:34802401	20128	1	OK	0.5372518	0.4107304	0.7360053	0.0309384	26.405	-294.528	155.006	0.3274110	0
1	Port 2: NDI 8700340  s/n:34802401	20131	1	OK	0.5373570	0.4104723	0.7359955	0.0327196	25.719	-295.753	154.997	0.2800234	0
1	Port 2: NDI 8700340  s/n:34802401	20134	1	OK	0.5374137	0.4084349	0.7370427	0.0336972	25.577	-296.774	154.902	0.2748078	0
1	Port 2: NDI 8700340  s/n:34802401	20137	1	OK	0.5367741	0.4055780	0.7390139	0.0351928	24.781	-298.638	155.388	0.2919193	0
1	Port 2: NDI 8700340  s/n:34802401	20140	1	OK	0.5357970	0.4032162	0.7409132	0.0372295	24.531	-300.400	155.942	0.2763354	0
1	Port 2: NDI 8700340  s/n:34802401	20143	1	OK	0.5348196	0.4009826	0.7427832	0.0381310	23.629	-302.179	156.654	0.2548860	0
1	Port 2: NDI 8700340  s/n:34802401	20146	1	OK	0.5338859	0.3986299	0.7447066	0.0383670	23.476	-303.480	157.350	0.2745354	0
1	Port 2: NDI 8700340  s/n:34802401	20149	1	OK	0.5328230	0.3964318	0.7465396	0.0402520	22.526	-305.617	158.101	0.2762951	0
1	Port 2: NDI 8700340  s/n:34802401	20152	1	OK	0.5318992	0.3946954	0.7478907	0.0442535	21.629	-308.215	158.521	0.2534988	0
1	Port 2: NDI 8700340  s/n:34802401	20155	1	OK	0.5303530	0.3916383	0.7504557	0.0464907	20.854	-310.616	159.559	0.2855268	0
1	Port 2: NDI 8700340  s/n:34802401	20158	1	OK	0.5291395	0.3880376	0.7530529	0.0484715	20.305	-313.013	160.347	0.2612588	0
1	Port 2: NDI 8700340  s/n:34802401	20161	1	OK	0.5262996	0.3854167	0.7561145	0.0524749	19.345	-316.135	162.015	0.3133950	0
1	Port 2: NDI 8700340  s/n:34802401	20164	1	OK	0.5255404	0.3841943	0.7571359	0.0542889	18.650	-317.561	162.689	0.2812383	0
1	Port 2: NDI 8700340  s/n:34802401	20167	1	OK	0.5242907	0.3827770	0.7584924	0.0573604	17.945	-319.260	163.160	0.2909833	0
1	Port 2: NDI 8700340  s/n:34802401	20170	1	OK	0.5229160	0.3819697	0.7595622	0.0610189	17.332	-320.987	163.552	0.2620320	0
1	Port 2: NDI 8700340  s/n:34802401	20173	1	OK	0.5219200	0.3793279	0.7613284	0.0639445	16.751	-322.910	163.949	0.3009510	0
1	Port 2: NDI 8700340  s/n:34802401	20176	1	OK	0.5212451	0.3784431	0.7620833	0.0656762	16.397	-324.220	164.258	0.2764454	0
1	Port 2: NDI 8700340  s/n:34802401	20179	1	OK	0.5211831	0.3781743	0.7621779	0.0666125	16.116	-324.734	164.262	0.2826182	0
1	Port 2: NDI 8700340  s/n:34802401	20182	1	OK	0.5208890	0.3774206	0.7626482	0.0677940	15.860	-325.228	164.271	0.2812001	0
1	Port 2: NDI 8700340  s/n:34802401	20185	1	OK	0.5212568	0.3774064	0.7621961	0.0700919	14.825	-326.140	164.007	0.2743844	0
1	Port 2: NDI 8700340  s/n:34802401	20188	1	OK	0.5208404	0.3758967	0.7630665	0.0718081	13.297	-326.791	164.475	0.2788652	0
1	Port 2: NDI 8700340  s/n:34802401	20191	1	OK	0.5181473	0.3755753	0.7648713	0.0737457	11.547	-326.793	166.412	0.2764044	0
1	Port 2: NDI 8700340  s/n:34802401	20194	1	OK	0.5208692	0.3732730	0.7643272	0.0718781	10.699	-325.389	164.804	0.3047834	0
1	Port 2: NDI 8700340  s/n:34802401	20197	1	OK	0.5232504	0.3718414	0.7633017	0.0728938	10.477	-325.569	162.874	0.2995417	0
1	Port 2: NDI 8700340  s/n:34802401	20200	1	OK	0.5226720	0.3702652	0.7646589	0.0708132	10.632	-326.120	163.776	0.2838464	0
1	Port 2: NDI 8700340  s/n:34802401	20203	1	OK	0.5224287	0.3682222	0.7658893	0.0699591	10.600	-327.512	164.187	0.2828934	0
1	Port 2: NDI 8700340  s/n:34802401	20206	1	OK	0.5218771	0.3672601	0.7667322	0.0699001	10.638	-328.250	164.475	0.2750648	0
1	Port 2: NDI 8700340  s/n:34802401	20209	1	OK	0.5205851	0.3685823	0.7670403	0.0691921	10.560	-327.760	165.335	0.2690035	0
1	Port 2: NDI 8700340  s/n:34802401	20212	1	OK	0.5190848	0.3683869	0.7681490	0.0692040	10.382	-327.905	166.279	0.3078157	0
1	Port 2: NDI 8700340  s/n:34802401	20215	1	OK	0.5182256	0.3686876	0.7686677	0.0682763	10.520	-327.620	166.896	0.2880867	0
1	Port 2: NDI 8700340  s/n:34802401	20218	1	OK	0.5168622	0.3696219	0.7690669	0.0690592	9.889	-327.989	167.723	0.2958721	0
1	Port 2: NDI 8700340  s/n:34802401	20221	1	OK	0.5165975	0.3702656	0.7688849	0.0696153	9.826	-327.784	167.714	0.2922486	0
1	Port 2: NDI 8700340  s/n:34802401	20224	1	OK	0.5169708	0.3713629	0.7681000	0.0696646	9.644	-327.378	167.430	0.2898305	0
1	Port 2: NDI 8700340  s/n:34802401	20227	1	OK	0.5181689	0.3728064	0.7666112	0.0694523	9.685	-326.500	166.790	0.2710078	0
1	Port 2: NDI 8700340  s/n:34802401	20230	1	OK	0.5195447	0.3733919	0.7654234	0.0691288	9.561	-325.654	165.797	0.3034126	0
1	Port 2: NDI 8700340  s/n:34802401	20233	1	OK	0.5210494	0.3741047	0.7641483	0.0680481	9.683	-324.460	164.798	0.2910521	0
1	Port 2: NDI 8700340  s/n:34802401	20236	1	OK	0.5217233	0.3753150	0.7631097	0.0678757	9.928	-323.551	164.437	0.2721648	0
1	Port 2: NDI 8700340  s/n:34802401	20239	1	OK	0.5229705	0.3761324	0.7619610	0.0666454	10.177	-322.315	163.662	0.2860591	0
1	Port 2: NDI 8700340  s/n:34802401	20242	1	OK	0.5238114	0.3781448	0.7604875	0.0654745	10.178	-320.993	163.191	0.2779589	0
1	Port 2: NDI 8700340  s/n:34802401	20245	1	OK	0.5237725	0.3790526	0.7600570	0.0655347	10.497	-320.249	163.141	0.2734441	0
1	Port 2: NDI 8700340  s/n:34802401	20248	1	OK	0.5246491	0.3790722	0.7596015	0.0636639	10.599	-319.337	162.807	0.2843216	0
1	Port 2: NDI 8700340  s/n:34802401	20251	1	OK	0.5255253	0.3806269	0.7583756	0.0617478	10.940	-317.719	162.386	0.2882456	0
1	Port 2: NDI 8700340  s/n:34802401	20254	1	OK	0.5259372	0.3816438	0.7575421	0.0621937	11.169	-316.910	162.062	0.2903010	0
1	Port 2: NDI 8700340  s/n:34802401	20257	1	OK	0.5269396	0.3841995	0.7556820	0.0605814	11.368	-315.211	161.573	0.2854057	0
