Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	21718	1	OK	0.5893758	-0.4259039	-0.1118794	-0.6772924	93.973	176.812	-104.575	0.3390426	0
1	Port 2: NDI 8700340  s/n:34802401	21721	1	OK	0.5901969	-0.4257117	-0.1113974	-0.6767775	93.828	176.892	-104.740	0.3063545	0
1	Port 2: NDI 8700340  s/n:34802401	21724	1	OK	0.5925457	-0.4258050	-0.1097629	-0.6749310	93.696	176.976	-104.847	0.2942246	0
1	Port 2: NDI 8700340  s/n:34802401	21727	1	OK	0.5926540	-0.4254268	-0.1110086	-0.6748707	93.895	176.807	-104.664	0.3099148	0
1	Port 2: NDI 8700340  s/n:34802401	21730	1	OK	0.5938262	-0.4254487	-0.1105119	-0.6739073	93.712	176.840	-104.747	0.3150242	0
1	Port 2: NDI 8700340  s/n:34802401	21733	1	OK	0.5939260	-0.4251837	-0.1118341	-0.6737684	93.985	176.592	-104.835	0.2991613	0
1	Port 2: NDI 8700340  s/n:34802401	21736	1	OK	0.5936262	-0.4246997	-0.1126470	-0.6742023	94.249	176.566	-105.438	0.3098104	0
1	Port 2: NDI 8700340  s/n:34802401	21739	1	OK	0.5949070	-0.4240403	-0.1129612	-0.6734354	94.292	176.898	-106.439	0.2844025	0
1	Port 2: NDI 8700340  s/n:34802401	21742	1	OK	0.5951469	-0.4245906	-0.1137985	-0.6727354	94.833	176.883	-106.586	0.2860812	0
1	Port 2: NDI 8700340  s/n:34802401	21745	1	OK	0.5957196	-0.4239368	-0.1153135	-0.6723827	95.580	177.067	-107.343	0.3160557	0
1	Port 2: NDI 8700340  s/n:34802401	21748	1	OK	0.5957906	-0.4236008	-0.1159378	-0.6724242	96.075	177.420	-108.087	0.3311034	0
1	Port 2: NDI 8700340  s/n:34802401	21751	1	OK	0.5947618	-0.4238464	-0.1171942	-0.6729622	96.065	177.970	-108.119	0.2817413	0
1	Port 2: NDI 8700340  s/n:34802401	21754	1	OK	0.5945916	-0.4234563	-0.1186832	-0.6730973	95.905	178.598	-108.301	0.3154733	0
1	Port 2: NDI 8700340  s/n:34802401	21757	1	OK	0.5934341	-0.4232613	-0.1188153	-0.6742172	95.481	179.423	-108.542	0.3011431	0
1	Port 2: NDI 8700340  s/n:34802401	21760	1	OK	0.5927453	-0.4242798	-0.1211318	-0.6737705	94.450	179.907	-108.202	0.3340341	0
1	Port 2: NDI 8700340  s/n:34802401	21763	1	OK	0.5923536	-0.4253645	-0.1228912	-0.6731122	93.960	179.775	-107.504	0.3446869	0
1	Port 2: NDI 8700340  s/n:34802401	21766	1	OK	0.5922270	-0.4262970	-0.1232813	-0.6725621	93.168	179.581	-106.974	0.3379131	0
1	Port 2: NDI 8700340  s/n:34802401	21769	1	OK	0.5932486	-0.4256437	-0.1253341	-0.6716956	92.826	179.242	-106.743	0.3279612	0
1	Port 2: NDI 8700340  s/n:34802401	21772	1	OK	0.5918685	-0.4265026	-0.1247334	-0.6724796	91.731	179.608	-106.064	0.3257260	0
1	Port 2: NDI 8700340  s/n:34802401	21775	1	OK	0.5922147	-0.4258480	-0.1255809	-0.6724319	91.008	180.025	-106.219	0.3313671	0
1	Port 2: NDI 8700340  s/n:34802401	21778	1	OK	0.5904550	-0.4256849	-0.1277325	-0.6736763	90.396	180.646	-105.767	0.3440004	0
1	Port 2: NDI 8700340  s/n:34802401	21781	1	OK	0.5897789	-0.4258041	-0.1281638	-0.6741111	89.665	181.704	-105.560	0.3325522	0
1	Port 2: NDI 8700340  s/n:34802401	21784	1	OK	0.5871633	-0.4254643	-0.1302554	-0.6762048	89.183	182.988	-105.370	0.3612550	0
1	Port 2: NDI 8700340  s/n:34802401	21787	1	OK	0.5853866	-0.4251066	-0.1319013	-0.6776495	88.525	184.735	-105.262	0.3355066	0
1	Port 2: NDI 8700340  s/n:34802401	21790	1	OK	0.5842325	-0.4253742	-0.1332216	-0.6782191	87.946	186.558	-104.583	0.3276206	0
1	Port 2: NDI 8700340  s/n:34802401	21793	1	OK	0.5830141	-0.4267858	-0.1330700	-0.6784105	87.272	188.427	-103.553	0.3375214	0
1	Port 2: NDI 8700340  s/n:34802401	21796	1	OK	0.5820193	-0.4274583	-0.1335493	-0.6787470	86.714	190.307	-102.820	0.3265308	0
1	Port 2: NDI 8700340  s/n:34802401	21799	1	OK	0.5812627	-0.4279439	-0.1337885	-0.6790422	86.069	192.331	-102.296	0.3047928	0
1	Port 2: NDI 8700340  s/n:34802401	21802	1	OK	0.5794830	-0.4288336	-0.1341997	-0.6799203	85.776	194.179	-101.394	0.2984324	0
1	Port 2: NDI 8700340  s/n:34802401	21805	1	OK	0.5780123	-0.4299046	-0.1340121	-0.6805325	84.866	196.316	-100.535	0.3025861	0
1	Port 2: NDI 8700340  s/n:34802401	21808	1	OK	0.5760582	-0.4307248	-0.1351955	-0.6814362	84.131	198.245	-99.622	0.2693338	0
1	Port 2: NDI 8700340  s/n:34802401	21811	1	OK	0.5744813	-0.4311397	-0.1352056	-0.6825022	83.080	200.448	-99.564	0.3064753	0
1	Port 2: NDI 8700340  s/n:34802401	21814	1	OK	0.5729248	-0.4315250	-0.1363733	-0.6833343	82.215	202.384	-99.173	0.3028773	0
1	Port 2: NDI 8700340  s/n:34802401	21817	1	OK	0.5707468	-0.4323271	-0.1372183	-0.6844797	81.303	204.222	-98.426	0.3069763	0
1	Port 2: NDI 8700340  s/n:34802401	21820	1	OK	0.5678920	-0.4331102	-0.1379954	-0.6862008	80.726	205.839	-97.554	0.2898737	0
1	Port 2: NDI 8700340  s/n:34802401	21823	1	OK	0.5660192	-0.4329046	-0.1385349	-0.6877674	79.778	207.799	-97.375	0.2700738	0
1	Port 2: NDI 8700340  s/n:34802401	21826	1	OK	0.5637080	-0.4331988	-0.1388790	-0.6894090	78.608	209.899	-97.105	0.2904135	0
1	Port 2: NDI 8700340  s/n:34802401	21829	1	OK	0.5607369	-0.4336191	-0.1398714	-0.6913643	77.648	211.962	-96.664	0.2996804	0
1	Port 2: NDI 8700340  s/n:34802401	21832	1	OK	0.5594495	-0.4330089	-0.1398781	-0.6927869	76.692	214.081	-97.072	0.2979582	0
1	Port 2: NDI 8700340  s/n:34802401	21835	1	OK	0.5571344	-0.4327181	-0.1413144	-0.6945406	76.042	215.870	-96.996	0.2873433	0
1	Port 2: NDI 8700340  s/n:34802401	21838	1	OK	0.5554064	-0.4321026	-0.1423284	-0.6960989	75.417	217.631	-97.195	0.2958139	0
1	Port 2: NDI 8700340  s/n:34802401	21841	1	OK	0.5525971	-0.4324562	-0.1431989	-0.6979342	74.885	219.315	-96.917	0.2898596	0
1	Port 2: NDI 8700340  s/n:34802401	21844	1	OK	0.5514389	-0.4326015	-0.1445631	-0.6984787	74.128	220.874	-96.616	0.2694033	0
1	Port 2: NDI 8700340  s/n:34802401	21847	1	OK	0.5491158	-0.4326316	-0.1461731	-0.6999536	73.678	222.268	-96.413	0.2986282	0
1	Port 2: NDI 8700340  s/n:34802401	21850	1	OK	0.5470853	-0.4329654	-0.1462251	-0.7013250	72.664	224.091	-96.163	0.2927975	0
1	Port 2: NDI 8700340  s/n:34802401	21853	1	OK	0.5449815	-0.4330490	-0.1471027	-0.7027264	72.220	225.640	-95.796	0.2762223	0
