Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	473175	1	OK	0.5845339	-0.4410134	-0.0365143	-0.6800691	38.865	256.374	-76.441	0.1418497	0
1	Port 2: NDI 8700340  s/n:34802401	473178	1	OK	0.5848575	-0.4402960	-0.0366378	-0.6802491	39.096	256.106	-76.793	0.1211679	0
1	Port 2: NDI 8700340  s/n:34802401	473181	1	OK	0.5852642	-0.4403743	-0.0369743	-0.6798303	39.662	255.553	-76.471	0.1501310	0
1	Port 2: NDI 8700340  s/n:34802401	473184	1	OK	0.5857819	-0.4399292	-0.0376643	-0.6796346	40.175	255.073	-76.448	0.1477442	0
1	Port 2: NDI 8700340  s/n:34802401	473187	1	OK	0.5861249	-0.4400848	-0.0382635	-0.6792046	40.291	254.428	-76.578	0.1345932	0
1	Port 2: NDI 8700340  s/n:34802401	473190	1	OK	0.5871490	-0.4402948	-0.0393509	-0.6781210	39.892	253.679	-76.755	0.1413144	0
1	Port 2: NDI 8700340  s/n:34802401	473193	1	OK	0.5885051	-0.4405801	-0.0391909	-0.6767681	39.463	252.597	-77.467	0.1280100	0
1	Port 2: NDI 8700340  s/n:34802401	473196	1	OK	0.5889109	-0.4408601	-0.0398063	-0.6761965	38.371	251.757	-78.641	0.1225093	0
1	Port 2: NDI 8700340  s/n:34802401	473199	1	OK	0.5874547	-0.4424031	-0.0421478	-0.6763135	35.899	251.752	-79.187	0.1270444	0
1	Port 2: NDI 8700340  s/n:34802401	473202	1	OK	0.5850571	-0.4431004	-0.0454776	-0.6777183	33.297	252.621	-79.578	0.1468609	0
1	Port 2: NDI 8700340  s/n:34802401	473205	1	OK	0.5821810	-0.4440334	-0.0462685	-0.6795284	30.043	254.916	-79.676	0.1706973	0
1	Port 2: NDI 8700340  s/n:34802401	473208	1	OK	0.5774349	-0.4444174	-0.0447055	-0.6834205	27.900	258.503	-79.400	0.1648796	0
1	Port 2: NDI 8700340  s/n:34802401	473211	1	OK	0.5758006	-0.4447330	-0.0441537	-0.6846289	26.872	262.045	-79.064	0.1226264	0
1	Port 2: NDI 8700340  s/n:34802401	473214	1	OK	0.5721363	-0.4452626	-0.0443857	-0.6873363	26.979	265.905	-78.856	0.1331885	0
1	Port 2: NDI 8700340  s/n:34802401	473217	1	OK	0.5698491	-0.4467130	-0.0482466	-0.6880348	30.037	267.082	-77.911	0.1293223	0
1	Port 2: NDI 8700340  s/n:34802401	473220	1	OK	0.5730982	-0.4480530	-0.0520272	-0.6841784	34.866	264.829	-76.659	0.1448835	0
1	Port 2: NDI 8700340  s/n:34802401	473223	1	OK	0.5802173	-0.4485943	-0.0587629	-0.6772429	41.117	259.112	-75.593	0.1755453	0
1	Port 2: NDI 8700340  s/n:34802401	473226	1	OK	0.5894654	-0.4460859	-0.0626408	-0.6705326	46.560	252.612	-76.648	0.1559651	0
1	Port 2: NDI 8700340  s/n:34802401	473229	1	OK	0.5936570	-0.4456397	-0.0632020	-0.6670698	47.667	247.563	-77.631	0.1355940	0
